customer_id,customer_name,customer_segment,customer_tier,credit_limit,payment_terms_days,primary_region,primary_contact,annual_volume_mt,customer_since,is_active
CUST-00001,Advanced Corp,Construction,Gold,2000000,30,Latin America,contact0@example.com,1173.2,2019-01-05,True
CUST-00002,Premier Partners,Agricultural,Silver,500000,30,Europe,contact1@example.com,3010.1,2019-04-04,True
CUST-00003,Global Corp,Consumer,Platinum,5000000,45,Europe,contact2@example.com,6583.7,2018-06-17,True
CUST-00004,Global Holdings,Industrial,Gold,2000000,30,North America,contact3@example.com,2282.4,2024-04-06,True
CUST-00005,Atlantic Partners,Automotive,Gold,2000000,30,Asia Pacific,contact4@example.com,424.1,2022-05-02,True
CUST-00006,Advanced Holdings,Consumer,Platinum,5000000,45,Latin America,contact5@example.com,848.0,2020-04-23,True
CUST-00007,Premier Manufacturing,Industrial,Platinum,5000000,45,North America,contact6@example.com,299.2,2022-04-09,True
CUST-00008,Atlantic LLC,Automotive,Gold,2000000,30,Middle East,contact7@example.com,5028.1,2019-11-15,True
CUST-00009,Pacific Industries,Automotive,Standard,100000,15,North America,contact8@example.com,459.5,2017-09-29,True
CUST-00010,United Chemicals,Industrial,Standard,100000,15,North America,contact9@example.com,615.6,2020-07-02,True
CUST-00011,Atlantic Group,Automotive,Standard,100000,15,Europe,contact10@example.com,10.4,2025-01-13,True
CUST-00012,Industrial Chemicals,Automotive,Gold,2000000,30,Asia Pacific,contact11@example.com,8758.9,2022-12-06,True
CUST-00013,Global Holdings,Construction,Standard,100000,15,North America,contact12@example.com,893.2,2024-06-01,True
CUST-00014,Atlantic Industries,Construction,Standard,100000,15,Latin America,contact13@example.com,119.3,2019-05-13,True
CUST-00015,United Group,Industrial,Silver,500000,30,Europe,contact14@example.com,200.7,2023-09-18,True
CUST-00016,Global Manufacturing,Consumer,Silver,500000,30,Middle East,contact15@example.com,202.6,2020-05-10,True
CUST-00017,National Corp,Construction,Silver,500000,30,Middle East,contact16@example.com,362.8,2017-07-19,True
CUST-00018,National Partners,Agricultural,Silver,500000,30,Europe,contact17@example.com,743.9,2021-07-06,True
