report_id,report_date,report_type,report_title,report_source,chemical_name,region,report_summary,report_content,file_path,author
1,2025-07-25,TRADE_JOURNAL,Intermediates Market Update: Asia Pacific - July 2025,Goldman Sachs,Acrylonitrile,Asia Pacific,The spread between Acrylonitrile and feedstock naphtha has widened to $296/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded....,The spread between Acrylonitrile and feedstock naphtha has widened to $296/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded.,@MARKET_DOCUMENTS/Intermediates/2025-07.pdf,Emily Williams
2,2025-07-25,TRADE_JOURNAL,Polymers Market Update: Europe - July 2025,ICIS,LDPE Injection Grade,Europe,"Price assessment: LDPE Injection Grade CFR Europe is trading at $1319/MT, decreased $55/MT from last week. Market participants expect prices to strengthen in the coming weeks based on feedstock moveme...","Price assessment: LDPE Injection Grade CFR Europe is trading at $1319/MT, decreased $55/MT from last week. Market participants expect prices to strengthen in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Polymers/2025-07.pdf,John Williams
3,2025-07-31,ANALYST_REPORT,Aromatics Market Update: North America - July 2025,IHS Markit,Toluene,North America,The spread between Toluene and feedstock naphtha has stabilized to $207/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded....,The spread between Toluene and feedstock naphtha has stabilized to $207/MT. Producers report margins are healthy. Contract negotiations for next quarter are concluded.,@MARKET_DOCUMENTS/Aromatics/2025-07.pdf,Sarah Smith
4,2025-07-31,TRADE_JOURNAL,Polymers Market Update: Middle East - July 2025,Morgan Stanley,LDPE Injection Grade,Middle East,"Price assessment: LDPE Injection Grade CFR Middle East is trading at $1987/MT, remained stable $75/MT from last week. Market participants expect prices to remain stable in the coming weeks based on fe...","Price assessment: LDPE Injection Grade CFR Middle East is trading at $1987/MT, remained stable $75/MT from last week. Market participants expect prices to remain stable in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Polymers/2025-07.pdf,Emily Johnson
5,2025-07-31,ANALYST_REPORT,Intermediates Market Update: Latin America - July 2025,Morgan Stanley,Acrylonitrile,Latin America,"Price assessment: Acrylonitrile CFR Latin America is trading at $1036/MT, increased $69/MT from last week. Market participants expect prices to strengthen in the coming weeks based on feedstock moveme...","Price assessment: Acrylonitrile CFR Latin America is trading at $1036/MT, increased $69/MT from last week. Market participants expect prices to strengthen in the coming weeks based on feedstock movements.",@MARKET_DOCUMENTS/Intermediates/2025-07.pdf,John Chen
6,2025-07-31,SUPPLY_ANALYSIS,Olefins Market Update: Europe - July 2025,ICIS,Ethylene,Europe,Force majeure declared at Regional Supplier Ethylene unit in Europe has removed approximately 224kt/year of capacity from the market. Recovery is expected in 6 weeks. Buyers are seeking alternative so...,Force majeure declared at Regional Supplier Ethylene unit in Europe has removed approximately 224kt/year of capacity from the market. Recovery is expected in 6 weeks. Buyers are seeking alternative sources.,@MARKET_DOCUMENTS/Olefins/2025-07.pdf,Michael Smith
7,2025-07-31,ANALYST_REPORT,Olefins Market Update: North America - July 2025,IHS Markit,Ethylene,North America,The spread between Ethylene and feedstock naphtha has narrowed to $332/MT. Producers report margins are healthy. Contract negotiations for next quarter are contentious....,The spread between Ethylene and feedstock naphtha has narrowed to $332/MT. Producers report margins are healthy. Contract negotiations for next quarter are contentious.,@MARKET_DOCUMENTS/Olefins/2025-07.pdf,Michael Chen
8,2025-08-06,SUPPLY_ANALYSIS,Olefins Market Update: Asia Pacific - August 2025,ChemWeek,Propylene Chemical Grade,Asia Pacific,Force majeure declared at Global Chemical Co Propylene Chemical Grade unit in Asia Pacific has removed approximately 152kt/year of capacity from the market. Recovery is expected in 3 weeks. Buyers are...,Force majeure declared at Global Chemical Co Propylene Chemical Grade unit in Asia Pacific has removed approximately 152kt/year of capacity from the market. Recovery is expected in 3 weeks. Buyers are seeking alternative sources.,@MARKET_DOCUMENTS/Olefins/2025-08.pdf,Emily Chen
9,2025-08-06,MARKET_OUTLOOK,Olefins Market Update: Middle East - August 2025,ICIS,Butadiene,Middle East,Demand for Butadiene in Middle East has remained stable by 11.6% compared to the same period last year. Key end-use sectors driving this trend include packaging and medical. Inventory levels at conver...,Demand for Butadiene in Middle East has remained stable by 11.6% compared to the same period last year. Key end-use sectors driving this trend include packaging and medical. Inventory levels at converters remain moderate.,@MARKET_DOCUMENTS/Olefins/2025-08.pdf,John Williams
10,2025-08-06,SUPPLY_ANALYSIS,Aromatics Market Update: Asia Pacific - August 2025,Morgan Stanley,Toluene,Asia Pacific,Force majeure declared at Global Chemical Co Toluene unit in Asia Pacific has removed approximately 272kt/year of capacity from the market. Recovery is expected in 3 weeks. Buyers are seeking alternat...,Force majeure declared at Global Chemical Co Toluene unit in Asia Pacific has removed approximately 272kt/year of capacity from the market. Recovery is expected in 3 weeks. Buyers are seeking alternative sources.,@MARKET_DOCUMENTS/Aromatics/2025-08.pdf,John Johnson
