term_id,contract_id,customer_id,product_id,effective_date,expiration_date,price_formula,base_index_code,index_adjustment,fixed_price,floor_price,ceiling_price,min_volume_mt,max_volume_mt,volume_tier_1_mt,volume_tier_1_discount,volume_tier_2_mt,volume_tier_2_discount,payment_terms_days,early_pay_discount_pct,contract_status,contract_type
1,CTR-00001,CUST-00001,MEG-001,2025-08-26,2026-08-26,PP-DEL-USG + $75/MT,PP-DEL-USG,75,,787.5,1125.0,117.0,351.0,175.5,2,292.5,4,30,0,ACTIVE,ANNUAL
2,CTR-00001,CUST-00001,BUT-001,2025-09-16,2026-09-16,ETH-DEL-USG + $30/MT,ETH-DEL-USG,30,,1260.0,1800.0,117.0,351.0,175.5,2,292.5,4,30,0,ACTIVE,MULTI_YEAR
3,CTR-00001,CUST-00001,STY-001,2025-08-22,2026-08-22,ETH-DEL-USG + $30/MT,ETH-DEL-USG,30,,1207.5,1725.0,117.0,351.0,175.5,2,292.5,4,30,0,ACTIVE,ANNUAL
4,CTR-00001,CUST-00001,MMA-001,2025-02-24,2026-02-24,PP-DEL-USG + $30/MT,PP-DEL-USG,30,,1680.0,2400.0,117.0,351.0,175.5,2,292.5,4,30,0,ACTIVE,ANNUAL
5,CTR-00003,CUST-00003,PS-001,2025-06-10,2026-06-10,ETH-DEL-USG + $75/MT,ETH-DEL-USG,75,,1312.5,1875.0,658.0,1974.0,987.0,2,1645.0,4,45,1,ACTIVE,MULTI_YEAR
6,CTR-00003,CUST-00003,PP-HOMO,2025-12-18,2026-12-18,ETH-DEL-USG + $-25/MT,ETH-DEL-USG,-25,,1470.0,2100.0,658.0,1974.0,987.0,2,1645.0,4,45,1,ACTIVE,MULTI_YEAR
7,CTR-00003,CUST-00003,MEG-001,2025-10-21,2026-10-21,PP-DEL-USG + $-25/MT,PP-DEL-USG,-25,,787.5,1125.0,658.0,1974.0,987.0,2,1645.0,4,45,1,ACTIVE,ANNUAL
8,CTR-00003,CUST-00003,STY-001,2025-10-27,2026-10-27,BEN-FOB-USG + $100/MT,BEN-FOB-USG,100,,1207.5,1725.0,658.0,1974.0,987.0,2,1645.0,4,45,1,ACTIVE,MULTI_YEAR
9,CTR-00003,CUST-00003,ETH-001,2025-01-31,2026-01-31,PP-DEL-USG + $-25/MT,PP-DEL-USG,-25,,997.5,1425.0,658.0,1974.0,987.0,2,1645.0,4,45,1,ACTIVE,MULTI_YEAR
10,CTR-00004,CUST-00004,XYL-001,2025-03-04,2026-03-04,ETH-DEL-USG + $100/MT,ETH-DEL-USG,100,,924.0,1320.0,228.0,684.0,342.0,2,570.0,4,30,0,ACTIVE,ANNUAL
11,CTR-00004,CUST-00004,LLDPE-001,2025-11-04,2026-11-04,BEN-FOB-USG + $30/MT,BEN-FOB-USG,30,,1344.0,1920.0,228.0,684.0,342.0,2,570.0,4,30,0,ACTIVE,MULTI_YEAR
12,CTR-00005,CUST-00005,STY-001,2025-05-09,2026-05-09,PP-DEL-USG + $100/MT,PP-DEL-USG,100,,1207.5,1725.0,42.0,126.0,63.0,2,105.0,4,30,0,ACTIVE,MULTI_YEAR
13,CTR-00005,CUST-00005,PS-001,2025-11-24,2026-11-24,PP-DEL-USG + $30/MT,PP-DEL-USG,30,,1312.5,1875.0,42.0,126.0,63.0,2,105.0,4,30,0,ACTIVE,MULTI_YEAR
14,CTR-00005,CUST-00005,PP-COPOLY,2025-11-03,2026-11-03,PP-DEL-USG + $75/MT,PP-DEL-USG,75,,1522.5,2175.0,42.0,126.0,63.0,2,105.0,4,30,0,ACTIVE,MULTI_YEAR
